qualité du sommeil;temps au lit (secondes);marches;rythme cardiaque (bpm)
60%;29708.3;4655.0;0.0
64%;32344.4;3637.0;0.0
82%;29811.9;6765.0;0.0
49%;25738.3;4188.0;0.0
75%;28442.8;2962.0;0.0
69%;22292.9;4091.0;0.0
97%;29714.9;4072.0;0.0
100%;30953.2;3768.0;0.0
76%;24911.3;990.0;0.0
80%;25591.6;3191.0;0.0
75%;24197.9;660.0;0.0
77%;24686.7;20016.0;0.0
100%;33084.0;1872.0;0.0
80%;25315.7;1053.0;0.0
74%;23701.2;3910.0;0.0
93%;30648.4;3021.0;0.0
98%;32698.7;1907.0;0.0
77%;24555.5;1279.0;0.0
73%;27105.1;2497.0;0.0
79%;25822.0;2309.0;0.0
88%;28033.4;1046.0;0.0
76%;23887.8;1374.0;0.0
86%;27869.1;3611.0;0.0
67%;21182.0;24273.0;0.0
78%;23974.8;502.0;0.0
100%;31740.2;1275.0;0.0
85%;26897.7;384.0;0.0
79%;25700.0;3863.0;0.0
80%;25667.1;1264.0;0.0
76%;24285.3;5463.0;0.0
94%;30635.3;489.0;0.0
72%;26418.7;607.0;0.0
75%;23813.0;1242.0;0.0
82%;27777.4;6020.0;0.0
85%;28470.0;7493.0;0.0
70%;24312.4;126.0;0.0
88%;29685.3;1711.0;0.0
75%;22879.7;979.0;0.0
57%;23018.1;3526.0;0.0
80%;25148.3;2712.0;0.0
62%;22947.5;603.0;0.0
73%;23253.4;1067.0;0.0
100%;32431.6;3359.0;0.0
81%;25846.8;8383.0;0.0
96%;34173.7;574.0;0.0
74%;23761.5;2777.0;0.0
89%;29129.9;1745.0;0.0
80%;27319.8;2804.0;0.0
91%;30667.8;8460.0;0.0
67%;25240.6;2165.0;0.0
65%;20357.0;1236.0;0.0
74%;25270.3;1547.0;0.0
88%;28617.3;1793.0;0.0
100%;46703.4;2016.0;0.0
94%;31648.5;15754.0;0.0
79%;28935.2;13958.0;0.0
65%;24895.4;798.0;0.0
80%;24207.5;727.0;0.0
100%;30961.2;1863.0;0.0
96%;29530.1;1297.0;0.0
87%;28546.5;4696.0;0.0
82%;25029.7;121.0;0.0
82%;25202.2;597.0;0.0
